,fullname,id,likes,replies,retweets,text,timestamp,user
1217,Marilyn,921267757617856513,0,0,0,"Malala Yousafzai Trolled For Wearing Skinny Jeans and Heels
 http://www.monspick.com/single-post/2017/10/19/Malala-Yousafzai-Trolled-For-Wearing-Skinny-Jean-and-Heels …",2017-10-20T06:52:04,monspick
1218,capitalmexico.com.mx,921269253952634880,0,0,0,Supuesta foto de Malala con jeans se viraliza en redes sociales http://bit.ly/2hQDMPX pic.twitter.com/5Qo9ABT7gA,2017-10-20T06:58:01,CapitalMexico
1219,Nitesh Singh,921269949254983680,0,0,0, #newswallet.co   This viral photo of  Malala Yousafzai  wearing jeans sparks huge online debate... http://indianexpress.com/article/trending/trending-globally/malala-yousafzai-apparently-wore-jeans-viral-photo-online-debate-4891667/ …,2017-10-20T07:00:46,jairamramram
1220,Aiza.,921274955911909376,6,0,0,"Malala nay jeans charha li guys, Pakistani pareshan ho gaye hen.",2017-10-20T07:20:40,aizaasif4
1221,lost,921278937749229568,0,1,0,"Malala always talks about equality in girl's education, yet goes to Oxford, a place for the privileged white elite.",2017-10-20T07:36:29,lostouthere1
1222,Tammy February,921282330706305024,0,0,1,Why Malala Yousafzai's Oxford University tweets have us in our (happy) feels http://www.w24.co.za/Wellness/Mind/why-malala-yousafzais-oxford-university-tweets-have-us-in-our-happy-feels-20171019 …pic.twitter.com/jb7WBoU3wx,2017-10-20T07:49:58,Tammy24_7
1223,W24.co.za,921282330773336064,0,0,0,Why Malala Yousafzai's Oxford University tweets have us in our (happy) feels http://www.w24.co.za/Wellness/Mind/why-malala-yousafzais-oxford-university-tweets-have-us-in-our-happy-feels-20171019 …pic.twitter.com/mVw2iT2kWV,2017-10-20T07:49:58,W24_SA
1224,Umair Yousafzay,921282371223252992,3,2,0,Hypocrisy at its peak when a person argue regarding Malala wearing jeans & you see Deepika Padukone in Shorts on his Mob lock screen. https://twitter.com/hyperboreanwulf/status/921087029412270082 …,2017-10-20T07:50:08,SperlayKhan
1225,akanksha,921284259804889088,0,0,0,Ladke jeans pahan sakte hai ab mlala apne nirbhik rupe me samne aayi hai,2017-10-20T07:57:38,akan86ksha
1226,Malaysian Digest,921287657157640192,0,0,0,Malala’s Jeans Trolls Should Look At Her Accomplishments Instead http://dlvr.it/PwfvMM ,2017-10-20T08:11:08,malaysiandigest
1227,cyril almeida,921295906569408512,78,15,36,"Meanwhile, Pak worried about Malala in jeans... https://twitter.com/dailymailuk/status/921295436190769152 …",2017-10-20T08:43:55,cyalm
1228,feelalright9ja@gmail,921296328075776001,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/Pwg6zg pic.twitter.com/uO3rpCDs94,2017-10-20T08:45:36,feelalright9ja
1229,feelalright9ja@gmail,921296348384653312,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/PwBjnN pic.twitter.com/ldNO7HvcnX,2017-10-20T08:45:40,feelalright9ja
1230,feelalright9ja@gmail,921296364960497664,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/PwBjnN pic.twitter.com/RSfDbgGJ2k,2017-10-20T08:45:44,feelalright9ja
1231,feelalright9ja@gmail,921296446749523968,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/PwBjnN pic.twitter.com/iJewoCUXHR,2017-10-20T08:46:04,feelalright9ja
1232,feelalright9ja@gmail,921296465435045888,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/PwBjnN pic.twitter.com/0i5FdIeRuL,2017-10-20T08:46:08,feelalright9ja
1233,feelalright9ja@gmail,921296484435234816,0,0,0,Malala Yousafzai trolled for ‘wearing skinny jeans and high heels to Oxford http://dlvr.it/PwBjnN pic.twitter.com/89ECsSdzqs,2017-10-20T08:46:13,feelalright9ja
1234,capitalmexico.com.mx,921299453453234176,0,0,0,Supuesta foto de Malala con jeans se viraliza en redes sociales http://bit.ly/2hQDMPX pic.twitter.com/AY3qUiqoZ3,2017-10-20T08:58:01,CapitalMexico
1235,Global Citizen UK,921299955066769408,2,0,0,"Yep, even @Malala was nervous at her Oxford interview!  @MalalaFund #Oxbridgehttp://glblctzn.me/2l2VZ1A ",2017-10-20T09:00:00,GlblCtznUK
1236,D,921300134260019200,1,0,0,"Haters gonna hate and she will keep winning...

#MalalaYousafzai
#Malala #Pakistan
#Peace #education
#Oxford #OxfordUniversitypic.twitter.com/zphQ8fkXru",2017-10-20T09:00:43,Dewan_Ali
