0,fullname,id,likes,replies,retweets,text,timestamp,user,date,time,pos,neg,neu,comp
19339,sadia  ❤,9.13E+17,0,0,0,,2017-09-27T04:46:21,pizzaisishq,27/9/2017,4:46:21,0,0,1,0
19340,Leisure Martini,9.13E+17,0,0,0,SRK’s Raees is a Pussy and 5 More Reasons... http://tinyurl.com/hrwdywt  #mahirakhan #MohammedZeeshanAyyub #NawazuddinSiddiqui #raeesreview,2017-09-27T04:51:02,LeisureMartini,27/9/2017,4:51:02,0,0,1,0
19341,Faisal Khan,9.13E+17,0,0,1,"Stamina Low Hogai Aakhir Logon Ki 
Chalo @TheMahiraKhan  Ab New Date Pe Focus Karen 
Now With Ranveer Singh",2017-09-27T04:52:57,FaisalBulochPTI,27/9/2017,4:52:57,0.108,0.103,0.788,0.0258
19342,shaizal rajpot,9.13E+17,0,0,0,"Why The Mahira Khan Starrer Verna Got Delayed http://suchmuch.pk/why-the-mahira-khan-starrer-verna-got-delayed/ … via @suchmuchoficial
#Celebrities #LatestNews #MahiraKhan #QEA17",2017-09-27T05:00:03,ShaizalRajpot,27/9/2017,5:00:03,0,0.119,0.881,-0.2263
19343,Nabeel Anwar Dhakku,9.13E+17,1,0,0,"qomi waqar per mahira khan ka taziyana, Waqar Khan Column, Wednesday 27 2017- Roznama Dunya https://shar.es/1Ve6bW ",2017-09-27T05:02:58,NDhakku,27/9/2017,5:02:58,0,0,1,0
19344,Muzammil Hussain,9.13E+17,2,0,0,@TheMahiraKhan  ko bora bala kehna walu ab to koi shikwa nahe na..  pic.twitter.com/jZvFyphbmh,2017-09-27T05:06:24,Hugs_McGe3,27/9/2017,5:06:24,0,0,1,0
19345,Hamza Waheed,9.13E+17,0,0,0,Everyone is answerable of their own deeds so no one has right to judge anyone,2017-09-27T05:07:03,HamzaWaheed67,27/9/2017,5:07:03,0,0.17,0.83,-0.4341
19346,pindi is  ❤️,9.13E+17,0,1,0,Well done gul bukhari.,2017-09-27T05:07:44,waseemliaqatt,27/9/2017,5:07:44,0.412,0,0.588,0.2732
19347,NewsBoss.in,9.13E+17,0,0,0,Ranbir Kapoor and Mahira Khan’s cutest pictures.. http://indianexpress.com/photos/entertainment-gallery/ranbir-kapoor-and-mahira-khan-cutest-pictures-4863275/ …,2017-09-27T05:09:50,NewsBossIndia,27/9/2017,5:09:50,0.352,0,0.648,0.5859
19348,Sonia Juned,9.13E+17,0,0,0,Ranbir Kapoor and Mahira Khan's cutest pictures http://ift.tt/2fqpjJT ,2017-09-27T05:10:07,sonia_juned,27/9/2017,5:10:07,0.352,0,0.648,0.5859
19349,theneotv,9.13E+17,0,0,0,Anurag Basu EPIC REACTION On Ranbir Kapoor – Mahira Khan New York Pictures http://www.theneotv.com/blog/2017/09/27/anurag-basu-epic-reaction-on-ranbir-kapoor-mahira-khan-new-york-pictures/ …,2017-09-27T05:13:56,TheNeoTV,27/9/2017,5:13:56,0,0,1,0
19350,theneotv,9.13E+17,0,0,0,Anurag Basu EPIC REACTION On Ranbir Kapoor – Mahira Khan New York Pictures http://www.theneotv.com/blog/2017/09/27/anurag-basu-epic-reaction-on-ranbir-kapoor-mahira-khan-new-york-pictures-2/ …,2017-09-27T05:14:00,TheNeoTV,27/9/2017,5:14:00,0,0,1,0
19351,IE entertainment,9.13E+17,8,1,0,#RanbirKapoor and #MahiraKhan's cutest pictures together http://indianexpress.com/photos/entertainment-gallery/ranbir-kapoor-and-mahira-khan-cutest-pictures-4863275/ …,2017-09-27T05:15:06,ieEntertainment,27/9/2017,5:15:06,0.388,0,0.612,0.5859
19352,Ashfaq Khan  🔵,9.13E+17,1,0,0,@TheMahiraKhan haha read this satire http://propergaanda.com/world-leaders-scramble-deal-aftermath-ny-soota-break/ …,2017-09-27T05:15:35,ashesskhan,27/9/2017,5:15:35,0.375,0,0.625,0.4588
19353,Ashfaq Khan  🔵,9.13E+17,0,0,0,http://propergaanda.com/world-leaders-scramble-deal-aftermath-ny-soota-break/ …,2017-09-27T05:19:22,ashesskhan,27/9/2017,5:19:22,0,0,1,0
19354,Syed Yasir,9.13E+17,0,0,0,,2017-09-27T05:21:39,SyedYas531054,27/9/2017,5:21:39,0,0,1,0
19355,Ashfaq Khan  🔵,9.13E+17,0,0,0,http://propergaanda.com/world-leaders-scramble-deal-aftermath-ny-soota-break/ …,2017-09-27T05:22:45,ashesskhan,27/9/2017,5:22:45,0,0,1,0
19356,Syed Yasir,9.13E+17,0,0,0,Thanks Yusuf Ali ,2017-09-27T05:24:00,SyedYas531054,27/9/2017,5:24:00,0.592,0,0.408,0.4404
19357,ModiTrumpFan,9.13E+17,0,0,1,after #mahirakhan & #RanbirKapoor #London ll FINALLY prove that #DimpleKapadia & @iamsunnydeol r very much togetherhttp://www.spotboye.com/bollywood/news/love-out-in-the-open-dimple-kapadia-sunny-deol-spotted-holding-hands-in-london/59cb308a35b8b585717c0d75 …,2017-09-27T05:29:36,TrumpAlive,27/9/2017,5:29:36,0,0,1,0
19358,vish.bhowmick@gmail.,9.13E+17,1,0,1,He should marry her.  Mahira khan kapoor sounds good if it happens he will create a history,2017-09-27T05:30:24,vish_bhowmick,27/9/2017,5:30:24,0.263,0,0.737,0.6124
19359,#yumnabehn  🆗,9.13E+17,1,1,0,"Madam, you exclaim Jesus or Holy shit does not mean you are swearing to Jesus or ""the holy shit"".  Get life.",2017-09-27T05:32:21,ShahForLife,27/9/2017,5:32:21,0,0.228,0.772,-0.6808
19360,Saleem_mlk,9.13E+17,0,0,0,@TheMahiraKhan mahira ji you don't know how much i love you really you are my inspiration and you are my all life love you so so much,2017-09-27T05:34:35,mlk_saleem,27/9/2017,5:34:35,0.339,0,0.661,0.9153
19361,Erum,9.13E+17,0,1,0,"U go with your thoughts i go with mine ! And plz if u find something against ur intellect ,ignore ! rather start bilawaja ka debate !",2017-09-27T05:35:17,EramAltaf19,27/9/2017,5:35:17,0.202,0.097,0.701,0.3971
19362,Muhammad Ali Shaikh,9.13E+17,0,0,0,"A princess chose crucifix,  just because she cared about inequality and inhumanity around her. Don't give up. You are a catalyst.",2017-09-27T05:35:48,maighvee,27/9/2017,5:35:48,0.135,0,0.865,0.4215
19363,RealAmirButt,9.13E+17,0,0,0,Love you @Ahsankhanuk bhai  and respect  @TheMahiraKhan we all loveyou  https://twitter.com/tomtomatoe/status/912871112979222528 …,2017-09-27T05:36:19,Aamirbutt81,27/9/2017,5:36:19,0.448,0,0.552,0.8074
19364,Raeeskhan,9.13E+17,0,0,0,@TheMahiraKhan nothing personal mahira we said what we saw just as we see your acting and you become a hero yes it hurt very much but LUV,2017-09-27T05:36:19,Raeeskhan_,27/9/2017,5:36:19,0.141,0.075,0.784,0.2382
19365,oc,9.13E+17,0,0,0,Overactor,2017-09-27T05:44:57,ocmalik9,27/9/2017,5:44:57,0,0,1,0
19366,Santanu RoyChowdhury,9.13E+17,0,1,0,I don't think your Allah would mind if somebody uses Jesus as a phrase. He loves you all,2017-09-27T05:46:02,SantanuRoyC,27/9/2017,5:46:02,0.198,0,0.802,0.5719
19367,BOLLYWOOD KAHANI,9.13E+17,0,0,0,. @Ranbeerkapoor07 @ranbeerkapoor01 @TheMahiraKhan @ShraddhaKapoor @chintskap @Aanushkasharmahttps://youtu.be/ETbAmXcRLmg ,2017-09-27T05:46:09,adityamedia21,27/9/2017,5:46:09,0,0,1,0
19368,OPAL #IDONTMIND,9.13E+17,5,1,1,Mahira Khan: a stunning Pakistani actress that’s making waves for her performance in Bollywood movie raees & in her drama humsafaar pic.twitter.com/wcKhsgrnv3,2017-09-27T05:47:58,melgustwood,27/9/2017,5:47:58,0.12,0,0.88,0.3818
19369,Erum,9.13E+17,0,3,1,He definitely not ! But we are supposed to avoid man ! Like some of u people avoid non veg ! It is that simple ! #peaceplz,2017-09-27T05:49:19,EramAltaf19,27/9/2017,5:49:19,0.171,0.227,0.603,-0.3956
19370,#yumnabehn  🆗,9.13E+17,0,1,0,"Could you quote Quran lines which ask you to use particular exclamation phrase?  you think Atheists Hindus etc, who use Jeez are Christians?",2017-09-27T05:51:57,ShahForLife,27/9/2017,5:51:57,0,0,1,0
19371,Slave,9.13E+17,0,0,0,"Mahira Khan, A Brave woman.. I love your work and love the way you are.. Don't listen others.. Just be the who you are.. @TheMahiraKhan",2017-09-27T05:53:06,ChainedFreaker,27/9/2017,5:53:06,0.371,0,0.629,0.9153
19372,Bae's Birthday.,9.13E+17,0,0,0,Meanwhile @TheMahiraKhan  pic.twitter.com/wrNCHFhQEb,2017-09-27T05:53:34,HrithiksAvenger,27/9/2017,5:53:34,0,0,1,0
19373,Erum,9.13E+17,0,1,0,"Yes i can ! For that come to my inbox ! As i am new to twitter i dont know much about it , i can provide u with Hadith with refernces!",2017-09-27T05:53:41,EramAltaf19,27/9/2017,5:53:41,0.135,0,0.865,0.5538
19374,#yumnabehn  🆗,9.13E+17,0,1,0,"Except for 140 characters, Twitter does not limit you.
Let me know that here itself, so that others too can see and realize.  :)",2017-09-27T05:54:55,ShahForLife,27/9/2017,5:54:55,0.115,0,0.885,0.4588
19375,Erum,9.13E+17,0,1,0,Things cant be summarise in only  140 characters ! I wont mind if u publish them later !,2017-09-27T05:56:11,EramAltaf19,27/9/2017,5:56:11,0,0,1,0
19376,YASIR Adil,9.13E+17,0,0,0,Hmm,2017-09-27T05:57:06,YASIRAdil9,27/9/2017,5:57:06,0,0,1,0
19377,#yumnabehn  🆗,9.13E+17,0,6,0,"You can refer to hadiths here, am not ignorant of Islam.  No masks and tricks please.  =)",2017-09-27T05:57:35,ShahForLife,27/9/2017,5:57:35,0.318,0.161,0.521,0.5594
19378,NewsJunoon.com,9.13E+17,0,0,0,"Mahira Khan suffering from trauma, claims rumour http://newsjunoon.com/2017/09/27/mahira-khan-suffering-from-trauma-claims-rumour/ …",2017-09-27T05:59:30,NewsJunoon,27/9/2017,5:59:30,0,0.496,0.504,-0.7096
